relative_path,pdf_id,kind,bytes,sha256,required_for_benchmark
data/pdfs/paper_0037.pdf,paper_0037,single_paper,1224988,4c3a241903bef23a06768d4cc115e0bbc9a6efcd7202f08a618653d3da47f681,True
data/pdfs/paper_0038.pdf,paper_0038,single_paper,8587627,d7fb82e827e94db423e26cefc7c517d6bfc7e777056be4fac81eb4f6b255e608,True
data/pdfs/paper_0039.pdf,paper_0039,single_paper,2197867,ceb3bb78ea970f6804dc16fcec0229b76147cbf5f8e135a8fd96844bdbd6b444,True
data/pdfs/paper_0040.pdf,paper_0040,single_paper,1301693,885f7bac448f9154bbb0a3cf77153561dc86b1bce9ca5b6f74ef6320fd105119,True
data/pdfs/paper_0041.pdf,paper_0041,single_paper,851152,95221d01dfe44ee7a0b7b6471f0fd82a63123c8f141b1963cb6aaa3b91f64310,False
data/pdfs/paper_0042.pdf,paper_0042,single_paper,871786,b654827ac044a1363b5d086c97aea40430b779aff8f0fd1bf3b0e8a44c5b6e6c,True
data/pdfs/paper_0043.pdf,paper_0043,single_paper,254774,10e3b0710bfa278a4bd887c90d3dd4aaaf422410e564a376dd6ef094ad954c57,True
data/pdfs/paper_0044.pdf,paper_0044,single_paper,2531508,24cddfaa8ac0e07a88df911b09b4170d63730b103782cb597eda683d47d45576,True
data/pdfs/paper_0045.pdf,paper_0045,single_paper,2427041,efb2bd80251c29ababc2e065ae719fad4c432d367f4973a860d0e04e0ae150a1,True
data/pdfs/paper_0046.pdf,paper_0046,single_paper,632359,c91c9fae5e906279491ddcd93d6f716b64ac0a47d811b17259ceade42ce3b675,True
data/pdfs/paper_0047.pdf,paper_0047,single_paper,2530482,92d0b236c8e745a5cc0c635fbea0d953f8d7bddbcfbe9dec32717df68e79915e,True
data/pdfs/paper_0048.pdf,paper_0048,single_paper,1319472,393ec1c4e9d346e3dc7962b14d6513613807d43c783342e25fe27b81092f1e9a,True
data/pdfs/paper_0049.pdf,paper_0049,single_paper,1163715,95e7b9dc9e7da1be5006cace519c91ead58537011f3b9b0edd8f84460299e875,False
data/pdfs/paper_0050.pdf,paper_0050,single_paper,379340,b2802984ff6899974dd5603ec0b2b70dcb6e7bea74bfdc82caa4cc79f21ea923,False
data/pdfs/paper_0051.pdf,paper_0051,single_paper,755835,8a76a0bb99a16ab4af1338c06fdfe58597dce04600639716dbd23f78dc0bbbfb,True
data/pdfs/paper_0052.pdf,paper_0052,single_paper,2128556,7a4609558aba4857f5417fd155f88b0e373370e2bc2d865570a595baed0db9a4,True
data/pdfs/paper_0053.pdf,paper_0053,single_paper,5784517,bc4b9440a6a00a306afa916238c06f773a971f3b49ec4908e7f2f1e22758346f,True
data/pdfs/paper_0054.pdf,paper_0054,single_paper,574090,fb76bd63ea1575061cd12640cb75c7c8e017ed89c905b5c8778a0035f57a617c,True
data/pdfs/paper_0055.pdf,paper_0055,single_paper,1978693,bc8e47c36ed83eec1d60eeda4e6605ad296d0fc2bdb7492bb1b8cbddff2463a3,True
data/pdfs/paper_0056.pdf,paper_0056,single_paper,1093728,6f6a1067e1e38fc4b2d21996e60b119b27b3113ba7cda47fb0258a44e1293d15,True
data/pdfs/paper_0057.pdf,paper_0057,single_paper,1096574,6e63f1e1fe4a662034255a76fae8eda603b4283c7cc5694dcc837a89dcd8ce72,True
data/pdfs/paper_0058.pdf,paper_0058,single_paper,2000935,19c980bc2b0f68e046b11b7d17ccfe90525771b91dc0d48e02b5932bafc3182f,True
data/pdfs/paper_0059.pdf,paper_0059,single_paper,1978343,3f29f3811a6e14b145b08f76f1c7952b4ce25b2b67f17d0b758b0aafe32fab71,True
data/pdfs/paper_0060.pdf,paper_0060,single_paper,322833,06c520171eed751db162634d8ab9b0d5ddf6584b45b4874b0fde7a6ae2d1f96b,True
data/pdfs/paper_0061.pdf,paper_0061,single_paper,3910168,eab729ec9e11bb9c384284b28e8f962f0ee7e42dca39e7b7932dccd58bc69740,False
data/pdfs/paper_0062.pdf,paper_0062,single_paper,876634,3fc061a426c67a8c33b896b9d7870e3c6b40ae3cfd86162ee1541192a6ba49bb,True
data/pdfs/paper_0063.pdf,paper_0063,single_paper,750474,519f9e0b4fac6fa8f10b7903f4c825266d132ccbc7294f50741c48dccd54f8e8,True
data/pdfs/paper_0064.pdf,paper_0064,single_paper,1144034,cca0e1e0b169add31b90c4063e4e27ea42d62c6b98be84da8c2cccb9100505a9,False
data/pdfs/paper_0065.pdf,paper_0065,single_paper,5656825,74ca0f2e544468f1a62656da16b9ca93814a756fa30333e8e72f4c348e746ce5,False
data/pdfs/paper_0066.pdf,paper_0066,single_paper,283215,1e4d15008afff612d79952b9d9180f361c24aa54518e24b4b7836f8027820962,True
data/pdfs/paper_0067.pdf,paper_0067,single_paper,686133,931faac4ded485a0d04ee9aa909e500099c107a1a592d4d5170390a55d0d97b7,False
data/pdfs/paper_0068.pdf,paper_0068,single_paper,810681,3e37b953717c0bd4ab7986726057129cbff1c7fe4ec13ce9c50361b3f3c661b4,True
data/pdfs/paper_0069.pdf,paper_0069,single_paper,2628265,385dce1ca9ef3916e22f14d0588ff33c8541f30f84b4d2040519983aa7169332,False
data/pdfs/paper_0070.pdf,paper_0070,single_paper,616003,343fb6d7fa1f7a21a342b13feee20b93351832895365ec56c70e0e60dffb4ad5,False
data/pdfs/paper_0071.pdf,paper_0071,single_paper,11614476,a19bc62a5aafc31eb0f73b37ef7300e7baef121c2a531aab21eb8525fb90cada,True
data/pdfs/paper_0072.pdf,paper_0072,single_paper,680964,0ed57238034a04d6b1b6114e677f0e16b1cc6adfa9d8027e95259494a184ac26,True
data/pdfs/paper_0073.pdf,paper_0073,single_paper,2983720,c72aa2d0b53325367cafb2a77d793b7d701748eb218ad748ba4fa617ce4d0256,False
data/pdfs/paper_0074.pdf,paper_0074,single_paper,210552,e16dbba356c80ac812ae278d424d118c463fee3b5c0988406b9b0853a717d568,False
data/pdfs/paper_0075.pdf,paper_0075,single_paper,1463787,a0c704bb72ad98c003c80055be138782b75cbc2d267543255293b9aa07adc677,True
data/pdfs/paper_0076.pdf,paper_0076,single_paper,1783497,b7acdad94e2371ff94b93dfbd3e33d0409dd44bdbb4ddfe4185dadfdc8ccc294,True
data/pdfs/paper_0077.pdf,paper_0077,single_paper,675459,de6be7aeae1bd1ae975680149981d0907f288a39c8f280b9580a0b95399f9fa7,True
data/pdfs/paper_0078.pdf,paper_0078,single_paper,1002143,3b9636c350e1e892e15021ff041d49166e5bba7e48f08a6d7d109c6ddd72064d,True
data/pdfs/paper_0079.pdf,paper_0079,single_paper,972790,26de3eddf7e8c6092c9114b53a3eb721ef218bfbd46d93f941646273ab662e83,True
data/pdfs/paper_0080.pdf,paper_0080,single_paper,3042739,70e7fb8d6fd4a69dfbe6eb825d15997615750bb780f091b1cbb688339a42efd1,False
data/pdfs/paper_0081.pdf,paper_0081,single_paper,471593,6f3b6c3a4fc2a67c727207c2a1631d16960f4374bc792204dee0046baf192b6f,True
data/pdfs/paper_0082.pdf,paper_0082,single_paper,1733534,1b0c3842d4524874927fe5099a8908437606823ead16b1dfe8e74e4edf06979c,True
data/pdfs/paper_0083.pdf,paper_0083,single_paper,716969,531208b99f5816f50668904b06c4cdd62c2ef1abedaed28850d45370802729b2,True
data/pdfs/paper_0084.pdf,paper_0084,single_paper,6093721,fec24d40882dcab3ec1d8d7646d3e134fe150c2d97bcdc0e8f4fc9ba1c9e288b,True
data/pdfs/paper_0085.pdf,paper_0085,single_paper,1020846,1534bfc5032b2a0e119b49ef37168c00722532ac2fd1146f3711ff9a23bb1f57,True
data/pdfs/paper_0086.pdf,paper_0086,single_paper,718895,5aaa1a10e0eb16b062f97d2c0e3da0c1b9f0f20b01f94e89e2fdbb7f17eb2c72,True
data/pdfs/paper_0087.pdf,paper_0087,single_paper,304745,28f818a3d0060a794467b0eb82a472523320c1c8087bbaf8ce1133793b6c4cd4,True
data/pdfs/paper_0088.pdf,paper_0088,single_paper,5348329,9ad69d1462cd6608e11d842159842732cce8a50365efbe9dc497d88ddf90c225,True
data/pdfs/paper_0089.pdf,paper_0089,single_paper,144239,ab1142a0062bb961d952f6c642d24a5c4499d9117544cabee79f9344f5c0a024,True
data/pdfs/paper_0090.pdf,paper_0090,single_paper,1403325,802af6ad43fcf080e4a5941619fde84ac0e139e20fb4f430998a8b82454987c8,True
data/pdfs/paper_0091.pdf,paper_0091,single_paper,1572348,bb1da33cdbe73dce1e560acaf956785922adf73ef3056c323e2a611b28b90c42,True
data/pdfs/paper_0092.pdf,paper_0092,single_paper,1906373,aa868ac2b706b1a58b8efb5b44fc0290cdd2a58bff52d9d3ae5b9f6aecfc5a3e,False
