model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
Qwen3-VL-8B,All,68.32,2200,1217,0,55.31818181818182,55.31818181818182,55.31818181818182,-13.001818181818173,PROVEN_MISMATCH
Qwen3-VL-8B,General,83.2,1000,746,0,74.6,74.6,74.6,-8.600000000000009,PROVEN_MISMATCH
Qwen3-VL-8B,Unanswerable,42.5,200,85,0,42.5,42.5,42.5,0.0,DISPLAY_MATCH
Qwen3-VL-8B,Multi-Document,55.38,800,257,0,32.125,32.125,32.125,-23.255000000000003,PROVEN_MISMATCH
Qwen3-VL-8B,Reasoning,71.5,200,129,0,64.5,64.5,64.5,-7.0,PROVEN_MISMATCH
Qwen3-VL-8B,E-Precision,43.34,2200,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
Qwen3-VL-8B,E-Recall,49.63,2200,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
Qwen3-VL-8B,E-F1,40.66,2200,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
Qwen3-VL-8B,A-Pages,8.44,2200,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
