model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
Qwen3-VL-8B,All,68.32,2200,1217,0,55.31818181818182,55.31818181818182,55.31818181818182,-13.001818181818173,PROVEN_MISMATCH
Qwen3-VL-8B,Computer Science,67.11,743,401,0,53.97039030955585,53.97039030955585,53.97039030955585,-13.139609690444146,PROVEN_MISMATCH
Qwen3-VL-8B,Physics,70.98,379,235,0,62.00527704485488,62.00527704485488,62.00527704485488,-8.974722955145126,PROVEN_MISMATCH
Qwen3-VL-8B,Statistics,66.12,367,169,0,46.049046321525886,46.049046321525886,46.049046321525886,-20.07095367847412,PROVEN_MISMATCH
Qwen3-VL-8B,Mathematics,62.45,245,136,0,55.51020408163265,55.51020408163265,55.51020408163265,-6.939795918367352,PROVEN_MISMATCH
Qwen3-VL-8B,Electrical Engineering and Systems Science,71.88,129,62,0,48.06201550387597,48.06201550387597,48.06201550387597,-23.817984496124026,PROVEN_MISMATCH
Qwen3-VL-8B,Economics,70.8,137,85,0,62.043795620437955,62.043795620437955,62.043795620437955,-8.756204379562043,PROVEN_MISMATCH
Qwen3-VL-8B,Quantitative Biology,76.32,114,81,0,71.05263157894737,71.05263157894737,71.05263157894737,-5.267368421052623,PROVEN_MISMATCH
Qwen3-VL-8B,Quantitative Finance,73.26,86,48,0,55.81395348837209,55.81395348837209,55.81395348837209,-17.446046511627912,PROVEN_MISMATCH
