model,metric,paper,historical_reaggregated_full_precision,historical_display,historical_display_difference,new_official_evaluator,new_difference,status
MiniCPM-V 2.6,All,15.59,15.590909090909092,15.59,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,General,14.7,14.7,14.70,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,Unanswerable,38.5,38.5,38.50,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,Multi-Document,12.5,12.5,12.50,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,Reasoning,9.5,9.5,9.50,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,E-Precision,9.37,9.36904761904762,9.37,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,E-Recall,9.24,9.243290043290044,9.24,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,E-F1,9.26,9.259776334776335,9.26,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 2.6,A-Pages,0.11,0.10727272727272727,0.11,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,All,22.32,22.318181818181817,22.32,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,General,24.4,24.4,24.40,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,Unanswerable,32.0,32.0,32.00,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,Multi-Document,14.25,14.25,14.25,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,Reasoning,34.5,34.5,34.50,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,E-Precision,15.39,15.391350351292118,15.39,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,E-Recall,31.88,31.88317099567099,31.88,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,E-F1,16.75,16.745781919981404,16.75,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL2.5-8B,A-Pages,6.69,6.6854545454545455,6.69,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,All,34.32,34.31818181818182,34.32,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,General,54.6,54.6,54.60,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,Unanswerable,15.0,15.0,15.00,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,Multi-Document,10.75,10.75,10.75,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,Reasoning,46.5,46.5,46.50,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,E-Precision,20.03,20.029169184993638,20.03,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,E-Recall,15.92,15.915530303030305,15.92,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,E-F1,16.47,16.47234581712181,16.47,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
MiniCPM-V 4.5,A-Pages,1.42,1.415,1.42,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,All,34.95,34.95454545454545,34.95,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,General,36.3,36.3,36.30,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,Unanswerable,2.5,2.5,2.50,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,Multi-Document,36.88,36.875,36.88,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,Reasoning,53.0,53.0,53.00,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,E-Precision,30.86,30.860720650472928,30.86,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,E-Recall,31.2,31.197113366431545,31.20,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
InternVL3.5-8B,E-F1,28.04,28.044271179368867,28.04,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
