path,size_bytes,sha256,recommendation,kind,description,deletion_risk,json_shape,top_level_records,qa_count_if_dataset,parse_error
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0020.json,1457,9ce9b44b0124384f5c7ee84121ab37d55cb35f31f32572e58e4848544368015d,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0021.json,774,b61b4933837b527bee66e7c33d3d72ca5c9ee3fc3034f22d6dd4f1e4b34fa0b9,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0022.json,772,72568e21e83d3ddb89a70acf125fc074d658439ef9fa8d39dc9b504287c33625,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0023.json,2991,0cf4447f08a1a35e488de9c65b9eaf1c412ea4e4bf097af956b89201a8ab054b,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0024.json,1629,ae34fdc6040b1b6ec8193bda0e7aa9aada4f87a384d3ca872283bb1724342445,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0025.json,774,750eb3310a62b0a0b47aa71627bb9fe6bbb5ade3cc5682e7983b54033017dde4,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0026.json,773,423f93c64d401dcb1ed59fe38aea6eef679db724a3908893f7b824999bee69be,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0027.json,1301,c3ae4225986aea856f54038c7d481b980857357e748c6942aae4337ec6e3950e,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0028.json,24753,253a9a842098c91f00926492eddde8f893048eb295061888a42cd283cbe385d5,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0029.json,38720,7df555770b23ecd88c1db03f62c5c994128f8b7071f6174c9716f930ef4d030e,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0030.json,1304,51104c40836a24faa150201f0d9c37c25c7460e5c9b630d98b6403ff3a987328,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0031.json,1496,f053c1d6c44338c0ed3438c83fbae99d28001949fc4671d66262f9b512446e8f,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
