model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
MiniCPM-V 2.6,All,15.59,2200,0,0,0.0,0.0,0.0,-15.59,PROVEN_MISMATCH
MiniCPM-V 2.6,General,14.7,1000,0,0,0.0,0.0,0.0,-14.7,PROVEN_MISMATCH
MiniCPM-V 2.6,Unanswerable,38.5,200,0,0,0.0,0.0,0.0,-38.5,PROVEN_MISMATCH
MiniCPM-V 2.6,Multi-Document,12.5,800,0,0,0.0,0.0,0.0,-12.5,PROVEN_MISMATCH
MiniCPM-V 2.6,Reasoning,9.5,200,0,0,0.0,0.0,0.0,-9.5,PROVEN_MISMATCH
InternVL2.5-8B,All,22.32,2200,0,3,0.0,0.13636363636363635,,,PROVEN_MISMATCH
InternVL2.5-8B,General,24.4,1000,0,0,0.0,0.0,0.0,-24.4,PROVEN_MISMATCH
InternVL2.5-8B,Unanswerable,32.0,200,0,0,0.0,0.0,0.0,-32.0,PROVEN_MISMATCH
InternVL2.5-8B,Multi-Document,14.25,800,0,2,0.0,0.25,,,PROVEN_MISMATCH
InternVL2.5-8B,Reasoning,34.5,200,0,1,0.0,0.5,,,PROVEN_MISMATCH
MiniCPM-V 4.5,All,34.32,2200,28,1093,1.2727272727272727,50.95454545454545,,,UNSCORED_BOUND
MiniCPM-V 4.5,General,54.6,1000,0,694,0.0,69.4,,,UNSCORED_BOUND
MiniCPM-V 4.5,Unanswerable,15.0,200,28,0,14.0,14.0,14.0,-1.0,PROVEN_MISMATCH
MiniCPM-V 4.5,Multi-Document,10.75,800,0,224,0.0,28.0,,,UNSCORED_BOUND
MiniCPM-V 4.5,Reasoning,46.5,200,0,175,0.0,87.5,,,UNSCORED_BOUND
InternVL3.5-8B,All,34.95,2200,5,1526,0.22727272727272727,69.5909090909091,,,UNSCORED_BOUND
InternVL3.5-8B,General,36.3,1000,0,733,0.0,73.3,,,UNSCORED_BOUND
InternVL3.5-8B,Unanswerable,2.5,200,5,0,2.5,2.5,2.5,0.0,DISPLAY_MATCH
InternVL3.5-8B,Multi-Document,36.88,800,0,595,0.0,74.375,,,UNSCORED_BOUND
InternVL3.5-8B,Reasoning,53.0,200,0,198,0.0,99.0,,,UNSCORED_BOUND
Gemma 3 27B,All,47.32,2200,1,1,0.045454545454545456,0.09090909090909091,,,PROVEN_MISMATCH
Gemma 3 27B,General,57.0,1000,0,1,0.0,0.1,,,PROVEN_MISMATCH
Gemma 3 27B,Unanswerable,14.0,200,1,0,0.5,0.5,0.5,-13.5,PROVEN_MISMATCH
Gemma 3 27B,Multi-Document,43.62,800,0,0,0.0,0.0,0.0,-43.62,PROVEN_MISMATCH
Gemma 3 27B,Reasoning,47.0,200,0,0,0.0,0.0,0.0,-47.0,PROVEN_MISMATCH
Mistral-Small-3.1-24B,All,49.0,2200,11,838,0.5,38.59090909090909,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,General,72.4,1000,0,674,0.0,67.4,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Unanswerable,9.0,200,11,0,5.5,5.5,5.5,-3.5,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Multi-Document,24.88,800,0,29,0.0,3.625,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Reasoning,68.5,200,0,135,0.0,67.5,,,PROVEN_MISMATCH
Qwen3-VL-4B,All,64.91,2200,119,1933,5.409090909090909,93.27272727272727,,,UNSCORED_BOUND
Qwen3-VL-4B,General,80.0,1000,0,955,0.0,95.5,,,UNSCORED_BOUND
Qwen3-VL-4B,Unanswerable,60.0,200,119,0,59.5,59.5,59.5,-0.5,PROVEN_MISMATCH
Qwen3-VL-4B,Multi-Document,47.38,800,0,778,0.0,97.25,,,UNSCORED_BOUND
Qwen3-VL-4B,Reasoning,64.5,200,0,200,0.0,100.0,,,UNSCORED_BOUND
Qwen3-VL-8B,All,68.32,2200,85,1934,3.8636363636363638,91.77272727272727,,,UNSCORED_BOUND
Qwen3-VL-8B,General,83.2,1000,0,942,0.0,94.2,,,UNSCORED_BOUND
Qwen3-VL-8B,Unanswerable,42.5,200,85,0,42.5,42.5,42.5,0.0,DISPLAY_MATCH
Qwen3-VL-8B,Multi-Document,55.38,800,0,792,0.0,99.0,,,UNSCORED_BOUND
Qwen3-VL-8B,Reasoning,71.5,200,0,200,0.0,100.0,,,UNSCORED_BOUND
Claude Sonnet 5,All,69.32,2200,136,1374,6.181818181818182,68.63636363636364,,,PROVEN_MISMATCH
Claude Sonnet 5,General,71.9,1000,0,928,0.0,92.8,,,UNSCORED_BOUND
Claude Sonnet 5,Unanswerable,68.0,200,136,0,68.0,68.0,68.0,0.0,DISPLAY_MATCH
Claude Sonnet 5,Multi-Document,61.0,800,0,248,0.0,31.0,,,PROVEN_MISMATCH
Claude Sonnet 5,Reasoning,91.0,200,0,198,0.0,99.0,,,UNSCORED_BOUND
DeepSeek-V4-Flash,All,79.45,2200,28,1932,1.2727272727272727,89.0909090909091,,,UNSCORED_BOUND
DeepSeek-V4-Flash,General,88.2,1000,0,974,0.0,97.4,,,UNSCORED_BOUND
DeepSeek-V4-Flash,Unanswerable,15.5,200,28,0,14.0,14.0,14.0,-1.5,PROVEN_MISMATCH
DeepSeek-V4-Flash,Multi-Document,83.62,800,0,759,0.0,94.875,,,UNSCORED_BOUND
DeepSeek-V4-Flash,Reasoning,83.0,200,0,199,0.0,99.5,,,UNSCORED_BOUND
GLM-4.6V,All,80.95,2200,81,1723,3.6818181818181817,82.0,,,UNSCORED_BOUND
GLM-4.6V,General,88.5,1000,0,848,0.0,84.8,,,PROVEN_MISMATCH
GLM-4.6V,Unanswerable,46.0,200,81,0,40.5,40.5,40.5,-5.5,PROVEN_MISMATCH
GLM-4.6V,Multi-Document,79.62,800,0,675,0.0,84.375,,,UNSCORED_BOUND
GLM-4.6V,Reasoning,83.5,200,0,200,0.0,100.0,,,UNSCORED_BOUND
