model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
Claude Sonnet 5,Unanswerable,68.0,200,136,0,68.0,68.0,68.0,0.0,DISPLAY_MATCH
Claude Sonnet 5,Multi-Document,61.0,800,0,248,0.0,31.0,,,PROVEN_MISMATCH
Claude Sonnet 5,Reasoning,91.0,200,0,198,0.0,99.0,,,UNSCORED_BOUND
Claude Sonnet 5,E-Precision,35.66,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
Claude Sonnet 5,E-Recall,43.97,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
Claude Sonnet 5,E-F1,36.49,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
Claude Sonnet 5,A-Pages,3.66,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
DeepSeek-V4-Flash,All,79.45,2200,28,1818,1.2727272727272727,83.9090909090909,,,UNSCORED_BOUND
DeepSeek-V4-Flash,General,88.2,1000,0,873,0.0,87.3,,,PROVEN_MISMATCH
DeepSeek-V4-Flash,Unanswerable,15.5,200,28,0,14.0,14.0,14.0,-1.5,PROVEN_MISMATCH
DeepSeek-V4-Flash,Multi-Document,83.62,800,0,750,0.0,93.75,,,UNSCORED_BOUND
DeepSeek-V4-Flash,Reasoning,83.0,200,0,195,0.0,97.5,,,UNSCORED_BOUND
DeepSeek-V4-Flash,E-Precision,44.49,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
DeepSeek-V4-Flash,E-Recall,49.22,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
DeepSeek-V4-Flash,E-F1,43.61,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
DeepSeek-V4-Flash,A-Pages,2.57,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
GLM-4.6V,All,80.95,2200,81,1628,3.6818181818181817,77.68181818181819,,,PROVEN_MISMATCH
GLM-4.6V,General,88.5,1000,0,763,0.0,76.3,,,PROVEN_MISMATCH
GLM-4.6V,Unanswerable,46.0,200,81,0,40.5,40.5,40.5,-5.5,PROVEN_MISMATCH
GLM-4.6V,Multi-Document,79.62,800,0,666,0.0,83.25,,,UNSCORED_BOUND
GLM-4.6V,Reasoning,83.5,200,0,199,0.0,99.5,,,UNSCORED_BOUND
GLM-4.6V,E-Precision,51.04,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
GLM-4.6V,E-Recall,50.47,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
GLM-4.6V,E-F1,47.81,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
GLM-4.6V,A-Pages,1.97,,,,,,,,UNRESOLVED_ILLEGAL_EVIDENCE
